"2020-05-29 13:20:37",EventLogger,log_opened,"Log opened upon Event Logger startup."
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001955,"4300|9"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001961,"4300|12"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001966,"4300|17"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001972,"4300|19"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001978,"4300|29"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001984,"4300|35"
"2020-05-29 13:20:50","AIR:401000000","building-cog",401001990,"4300|36|c|3"
"2020-05-29 13:20:50","AIR:401000000","building-cog",401001992,"4300|41|c|4"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001994,"4300|68"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001999,"4300|38"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401002005,"4300|40"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401002011,"4300|42"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401002017,"4300|49"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401002022,"4300|48"
"2020-05-29 13:20:50","AIR:401000000","building-cog",401002028,"4300|53|l|2"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401002030,"4300|50"
"2020-05-29 13:20:50","AIR:401000000","building-cog",401002036,"4300|52|l|2"
"2020-05-29 13:20:50","AIR:401000000","building-cog",401002038,"4300|54|l|4"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401002040,"4300|55"
"2020-05-29 13:20:50","AIR:401000000","building-cog",401002046,"4300|56|c|2"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401002048,"4300|72"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401002054,"4300|70"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401002060,"4300|62"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401002066,"4300|67"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401002072,"4300|71"
"2020-05-29 13:20:50","AIR:401000000","building-cog",401002078,"4300|43|c|3"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401002080,"4300|44"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401002086,"4300|45"
"2020-05-29 13:20:52","AIR:401000000","building-toon",401002139,"3000|9"
"2020-05-29 13:20:52","AIR:401000000","building-toon",401002165,"3100|1"
"2020-05-29 13:20:52","AIR:401000000","building-toon",401002171,"3100|2"
"2020-05-29 13:20:52","AIR:401000000","building-toon",401002177,"3100|5"
"2020-05-29 13:20:52","AIR:401000000","building-toon",401002182,"3100|7"
"2020-05-29 13:20:52","AIR:401000000","building-toon",401002188,"3100|8"
"2020-05-29 13:20:52","AIR:401000000","building-toon",401002194,"3100|50"
"2020-05-29 13:20:52","AIR:401000000","building-cog",401002200,"3100|11|l|5"
"2020-05-29 13:20:52","AIR:401000000","building-toon",401002202,"3100|10"
"2020-05-29 13:20:52","AIR:401000000","building-toon",401002208,"3100|12"
"2020-05-29 13:20:52","AIR:401000000","building-cog",401002214,"3100|13|c|2"
"2020-05-29 13:20:52","AIR:401000000","building-toon",401002216,"3100|14"
"2020-05-29 13:20:52","AIR:401000000","building-toon",401002222,"3100|15"
"2020-05-29 13:20:52","AIR:401000000","building-toon",401002228,"3100|51"
"2020-05-29 13:20:52","AIR:401000000","building-cog",401002234,"3100|17|c|4"
"2020-05-29 13:20:52","AIR:401000000","building-toon",401002236,"3100|18"
